Fecha;Descripcion es;Descripcion eu;Lugar es;Lugar eu;Provincia;Codigo Eustat;Latitud;Longitud
01/01/2016;Año nuevo;Eguberri Eguna;Estado;Estatua;Todas;;;
06/01/2016;Epifanía del Señor ;Jaunaren Agerkundea;Estado;Estatua;Todas;;;
24/03/2016;Jueves Santo;Ostegun Santua;Estado;Estatua;Todas;;;
25/03/2016;Viernes Santo;Ostiral Santua;Estado;Estatua;Todas;;;
28/03/2016;Lunes de Pascua de Resurrección;Pazko Astelehena;CAV;EAE;Todas;;;
25/07/2016;Santiago Apóstol;Santiago apostolua;CAV;EAE;Todas;;;
15/08/2016;Asunción de la Virgen;Ama Birjinaren Jasokundea;Estado;Estatua;Todas;;;
07/10/2016;80 aniversario de la constitución en Gernika del primer Gobierno Vasco;Gernikan Lehenengo Eusko Jaurlaritza eratu izanaren 80. Urteurrena;Estado;Estatua;Todas;;;
12/10/2016;Fiesta Nacional;Festa Nazionala;Estado;Estatua;Todas;;;
01/11/2016;Todos los Santos;Santu guztien eguna;Estado;Estatua;Todas;;;
06/12/2016;La Constitución;Konstituzioaren eguna;Estado;Estatua;Todas;;;
08/12/2016;Inmaculada Concepción;Sorkundez Garbiaren eguna;Estado;Estatua;Todas;;;
04/07/2016;San Valentín de Berrio-Otxoa;San Balendin Berrio-Otxoa;Bizkaia;Bizkaia;Bizkaia;;;
09/09/2016;Nuestra Señora de Aránzazu;Arantza zuko Amaren eguna;Gipuzkoa;Gipuzkoa;Gipuzkoa;;;
28/04/2016;San Prudencio  ;San Prudentzio;Álava - Araba;Álava - Araba;Álava - Araba;;;
03/02/2016;San Blas  ;San Blas;Abadiño  ;Abadiño  ;Bizkaia;1;43,150000;-2,610278
30/06/2016;Santa Lucía;Santa Lucia;Abanto y Ciérvana - Abanto Zierbena ;Abanto y Ciérvana-Abanto Zierbena ;Bizkaia;2;43,316389;-3,083333
05/05/2016;La Ascensión  ;Asentzio Eguna  ;Ajangiz;Ajangiz;Bizkaia;911;43,301000;-2,671000
24/08/2016;San Bartolomé  ;San Bartolomé  ;Alonsotegi;Alonsotegi;Bizkaia;912;43,245186;-2,988701
16/07/2016;Nuestra Señora del Carmen  ;Karmengo Andra Mari;Amorebieta-Etxano  ;Amorebieta-Etxano  ;Bizkaia;3;43,226104;-2,712628
05/07/2016;San Martín  ;Martin Deuna  ;Amoroto  ;Amoroto  ;Bizkaia;4;43,328500;-2,512500
18/07/2016;Santa Marina  ;Santa Mariñe;Arakaldo  ;Arakaldo  ;Bizkaia;5;43,149550;-2,925086
29/06/2016;San Pedro;San Pedro;Arantzazu  ;Arantzazu  ;Bizkaia;6;43,152904;-2,790430
